Feature,Importance
PageValues,0.8340511866494311
Month_encoded,0.11025281682483676
BounceRates,0.05569599652573211
Informational,0.0
Administrative_Duration,0.0
Administrative,0.0
ProductRelated,0.0
ProductRelated_Duration,0.0
ExitRates,0.0
SpecialDay,0.0
Informational_Duration,0.0
OperatingSystems,0.0
Browser,0.0
TrafficType,0.0
Region,0.0
Weekend,0.0
VisitorType_encoded,0.0
TotalTime,0.0
TotalTime2,0.0
